iter	Passed	Remaining
785	2862	779
786	2865	775
787	2868	771
788	2871	767
789	2874	764
790	2877	760
791	2880	756
792	2883	752
793	2886	748
794	2889	744
795	2892	741
796	2894	737
797	2897	733
798	2900	729
799	2903	725
800	2906	722
801	2909	718
802	2912	714
803	2915	710
804	2917	706
805	2920	702
806	2923	699
807	2926	695
808	2929	691
809	2932	687
810	2936	684
811	2939	680
812	2941	676
813	2944	672
814	2947	669
815	2950	665
816	2953	661
817	2956	657
818	2958	653
819	2961	650
820	2964	646
821	2967	642
822	2971	639
823	2975	635
824	2979	632
825	2985	628
826	2990	625
827	2993	621
828	2998	618
829	3001	614
830	3004	611
831	3008	607
832	3011	603
833	3015	600
834	3017	596
835	3020	592
836	3023	588
837	3026	585
838	3029	581
839	3031	577
840	3034	573
841	3037	569
842	3040	566
843	3043	562
844	3046	558
845	3049	555
846	3052	551
847	3055	547
848	3058	543
849	3061	540
850	3064	536
851	3067	532
852	3070	529
853	3073	525
854	3075	521
855	3078	517
856	3081	514
857	3085	510
858	3088	507
859	3091	503
860	3094	499
861	3097	495
862	3100	492
863	3102	488
864	3105	484
865	3108	481
866	3111	477
867	3113	473
868	3116	469
869	3119	466
870	3122	462
871	3125	458
872	3128	455
873	3131	451
874	3135	447
875	3138	444
876	3141	440
877	3145	437
878	3148	433
879	3150	429
880	3153	425
881	3156	422
882	3159	418
883	3162	415
884	3165	411
885	3168	407
886	3171	404
887	3174	400
888	3177	396
889	3179	393
890	3182	389
891	3185	385
892	3188	382
893	3191	378
894	3194	374
895	3196	371
896	3199	367
897	3203	363
898	3206	360
899	3209	356
900	3212	352
901	3215	349
902	3218	345
903	3221	342
904	3223	338
905	3226	334
906	3228	330
907	3231	327
908	3234	323
909	3236	320
910	3240	316
911	3243	312
912	3246	309
913	3249	305
914	3252	302
915	3255	298
916	3258	294
917	3261	291
918	3264	287
919	3267	284
920	3269	280
921	3272	276
922	3275	273
923	3278	269
924	3281	266
925	3284	262
926	3287	258
927	3290	255
928	3293	251
929	3296	248
930	3300	244
931	3302	240
932	3305	237
933	3308	233
934	3311	230
935	3314	226
936	3317	223
937	3320	219
938	3323	215
939	3326	212
940	3329	208
941	3332	205
942	3335	201
943	3338	198
944	3341	194
945	3344	190
946	3347	187
947	3350	183
948	3353	180
949	3356	176
950	3359	173
951	3362	169
952	3365	165
953	3368	162
954	3370	158
955	3374	155
956	3376	151
957	3380	148
958	3382	144
959	3385	141
960	3388	137
961	3390	133
962	3393	130
963	3396	126
964	3399	123
965	3402	119
966	3404	116
967	3408	112
968	3411	109
969	3414	105
970	3417	102
971	3420	98
972	3423	95
973	3426	91
974	3430	87
975	3433	84
976	3435	80
977	3439	77
978	3442	73
979	3445	70
980	3447	66
981	3450	63
982	3453	59
983	3456	56
984	3459	52
985	3461	49
986	3464	45
987	3468	42
988	3471	38
989	3473	35
990	3476	31
991	3479	28
992	3482	24
993	3485	21
994	3488	17
995	3491	14
996	3494	10
997	3497	7
998	3500	3
999	3503	0
